'agriculture practice cultivating plants livestock' , Agriculture
'petroldriven tractor built america john froelich' , Agriculture
'john bennet lawes scientific investigation fertilization rothamsted experimental station' , Agriculture
'investigated impact inorganic organic fertilizers crop yield founded artificial fertilizer manufacturing factories' , Agriculture
'fertilizer shape sodium nitrate deposits chile imported britain john thomas north guano birds droppings' , Agriculture
'commercial process fertilizer production obtaining phosphate dissolution coprolites sulphuric acid' , Agriculture
'dan albone constructed commercially successful gasolinepowered purpose tractor international harvester farmall tractor marked major replacement draft animals particularly horses machines' , Agriculture
'time selfpropelled mechanical harvesters combines planters transplanters equipment developed revolutionizing agriculture' , Agriculture
'inventions allowed farming tasks speed scale previously impossible leading modern farms output volumes highquality produce land unit' , Agriculture
'haberbosch method synthesizing ammonium nitrate represented major breakthrough allowed crop yields overcome previous constraints' , Agriculture
'patented german chemist fritz haber' , Agriculture
'carl bosch german chemical company basf successfully commercialized process secured patents' , Agriculture
'world war synthetic fertilizer increased rapidly sync increasing world population' , Agriculture
'collective farming widely practiced soviet union eastern bloc countries china vietnam starting soviet union result soviet famine' , Agriculture
'consequence occurred leap forward china initiated mao tsetung resulted chinese famine ultimately reshaped thinking deng xiaoping' , Agriculture
'past century agriculture characterized increased productivity substitution synthetic fertilizers pesticides labour water pollution farm subsidies' , Agriculture
'applications scientific research agriculture include gene manipulation hydroponics development economically viable biofuels ethanol' , Agriculture
'people involved farming industrial countries fell radically percent american population percent' , Agriculture
'farms decreased ownership concentrated example million pig farms america consolidated percent production factory farms' , Agriculture
'according worldwatch institute percent worlds poultry percent beef percent eggs produced' , Agriculture
'famines continued sweep globe century' , Agriculture
'effects climactic events government policy war crop failure millions people died ten famines' , Agriculture
'historical processes allowed agricultural crops cultivated eaten beyond centers origin continues globalization' , Agriculture
'average nations food supplies agricultural production crops foreign origins' , Agriculture
'green revolution series research development technology transfer initiatives late' , Agriculture
'increased agriculture production world late' , Agriculture
'initiatives led norman borlaug credited saving billion people starvation involved development highyielding varieties cereal grains expansion irrigation infrastructure modernization management techniques distribution hybridized seeds synthetic fertilizers pesticides farmers' , Agriculture
'synthetic nitrogen mined rock phosphate pesticides mechanization greatly increased crop yields century' , Agriculture
'increased supply grains led cheaper livestock' , Agriculture
'global yield increases experienced century highyield varieties common staple grains rice wheat corn introduced green revolution' , Agriculture
'green revolution exported technologies including pesticides synthetic nitrogen developed world developing world' , Agriculture
'thomas malthus famously predicted earth able support growing population technologies green revolution allowed world produce surplus food' , Agriculture
'green revolution significantly increased rice yields asia yield levelled' , Agriculture
'genetic yield potential increased wheat yield potential rice increased yield potential maize barely increased' , Agriculture
'takes decade herbicideresistant weeds emerge insects resistant insecticides decade delayed somewhat crop rotation' , Agriculture
'history agriculture organic synthetic fertilisers pesticides gmos' , Agriculture
'advent chemical agriculture rudolf steiner called farming synthetic pesticides agriculture course laid foundation biodynamic agriculture' , Agriculture
'lord northbourne developed ideas manifesto organic farming' , Agriculture
'worldwide movement organic farming practiced countries' , Agriculture
'intensive agriculture intensive farming opposed extensive farming industrial agriculture type agriculture crop plants animals levels input output unit agricultural land' , Agriculture
'characterized low fallow ratio inputs capital labour crop yields unit land' , Agriculture
'commercial agriculture intensive' , Agriculture
'forms rely heavily industrial methods called industrial agriculture characterised innovations designed increase yield' , Agriculture
'techniques include planting multiple crops reducing frequency fallow improving cultivars' , Agriculture
'involves increased fertilizers plant growth regulators pesticides mechanised agriculture controlled increased detailed analysis growing conditions including weather soil water weeds pests' , Agriculture
'intensive farms widespread developed nations increasingly prevalent worldwide' , Agriculture
'meat dairy products eggs fruits vegetables available supermarkets produced farms' , Agriculture
'intensive farms sustainable methods necessitate inputs labor lower yields' , Agriculture
'sustainably increasing agricultural productivity smallholdings decreasing amount land farming slowing environmental degradation processes deforestation' , Agriculture
'agriculture impacts climate change project drawdown described sustainable intensification smallholders method climate change mitigation' , Agriculture
'intensive animal farming involves animals raised limited land example rotational grazing western world sometimes concentrated animal feeding operations' , Agriculture
'methods increase yields food fiber acre compared extensive animal husbandry concentrated feed brought seldommoved animals rotational grazing animals repeatedly moved fresh forage' , Agriculture
'paddybased ricefarming practised korea ancient times' , Agriculture
'pithouse daecheonni archaeological site yielded carbonized rice grains radiocarbon dates indicating rice cultivation begun middle jeulmun pottery period korean peninsula' , Agriculture
'earliest rice cultivation dryfields instead paddies' , Agriculture
'agricultural development britain century midth century massive increase agricultural productivity net output' , Agriculture
'contributed unprecedented population growth freeing significant percentage workforce thereby helped enable industrial revolution' , Agriculture
'historians cited enclosure mechanization fourfield crop rotation selective breeding innovations' , Agriculture
'industrial agriculture arose industrial revolution' , Agriculture
'century agricultural techniques implements seed stocks cultivars improved yield land unit times seen middle ages' , Agriculture
'page' , Agriculture
'industrialization phase involved continuing process mechanization' , Agriculture
'horsedrawn machinery mccormick reaper revolutionized harvesting inventions cotton gin reduced cost processing' , Agriculture
'period farmers steampowered threshers tractors' , Agriculture
'gasolinepowered tractor successfully developed international harvester farmall tractor allpurpose tractor marking inflection replacement draft animals machines' , Agriculture
'mechanical harvesters combines planters transplanters equipment developed revolutionizing agriculture' , Agriculture
'inventions increased yields allowed individual farmers manage increasingly farms' , Agriculture
'identification nitrogen phosphorus potassium critical factors plant growth led manufacture synthetic fertilizers increasing crop yields' , Agriculture
'haberbosch method synthesize ammonium nitrate demonstrated' , Agriculture
'fertilizers stimulated concerns industrial agriculture due concerns effects soil compaction soil erosion declines overall soil fertility health concerns toxic chemicals entering food supply' , Agriculture
'discovery vitamins role nutrition decades century led vitamin supplements allowed livestock raised indoors reducing exposure adverse natural elements' , Agriculture
'following world war synthetic fertilizer increased rapidly' , Agriculture
'discovery antibiotics vaccines facilitated raising livestock reducing diseases' , Agriculture
'developments logistics refrigeration processing technology longdistance distribution feasible' , Agriculture
'integrated pest management modern method minimize pesticide sustainable levels' , Agriculture
'concerns sustainability industrial agriculture environmental effects fertilizers pesticides rise organic movement built market sustainable intensive farming funding development appropriate technology' , Agriculture
'pasture intensification improvement pasture soils grasses increase food production potential livestock systems' , Agriculture
'commonly reverse pasture degradation process characterized loss forage decreased animal carrying capacity results overgrazing poor nutrient management lack soil conservation' , Agriculture
'degradation leads poor pasture soils decreased fertility water availability increased rates erosion compaction acidification' , Agriculture
'degraded pastures significantly lower productivity carbon footprints compared intensified pastures' , Agriculture
'management practices improve soil health consequently grass productivity include irrigation soil scarification application lime fertilizers pesticides' , Agriculture
'depending productivity goals target agricultural system involved restoration projects undertaken replace invasive underproductive grasses grass species suited soil climate conditions region' , Agriculture
'intensified grass systems allow stocking rates faster animal weight gain reduced time slaughter resulting productive carbonefficient livestock systems' , Agriculture
'technique optimize yield maintaining carbon balance integrated croplivestock croplivestockforestry systems combine ecosystems optimized agricultural framework' , Agriculture
'synergies systems provide benefits pastures optimal plant usage improved feed fattening rates increased soil fertility quality intensified nutrient cycling integrated pest control improved biodiversity' , Agriculture
'introduction legume crops pastures increases carbon accumulation nitrogen fixation soils digestibility helps animal fattening reduces methane emissions enteric fermentation' , Agriculture
'systems yield beef cattle productivity ten times degraded pastures additional crop production maize sorghum soybean harvests greatly reduced greenhouse gas balances due forest carbon sequestration' , Agriculture
'twelve aprils grazing program dairy production developed usdasare forage crops dairy herds planted perennial pasture' , Agriculture
'rotational grazing variety foraging herds flocks regularly systematically moved fresh rested grazing sometimes called paddocks maximize quality quantity forage growth' , Agriculture
'cattle sheep goats pigs chickens turkeys ducks animals' , Agriculture
'herds graze portion pasture paddock allowing recover' , Agriculture
'resting grazed lands allows vegetation renew energy reserves rebuild shoot systems deepen root systems resulting longterm maximum biomass production' , Agriculture
'pasture systems allow grazers meet energy requirements rotational grazing effective grazers thrive tender plant stems' , Agriculture
'parasites left die minimizing eliminating dewormers' , Agriculture
'increased productivity rotational systems animals supplemental feed continuous grazing systems' , Agriculture
'farmers increase stocking rates' , Agriculture
'intensive livestock farming factory farming process raising livestock confinement stocking density' , Agriculture
'concentrated animal feeding operations cafo intensive livestock operations hold hundreds thousands cows hogs turkeys chickens indoors' , Agriculture
'essence farms concentration livestock space' , Agriculture
'aim provide maximum output lowest cost level food safety' , Agriculture
'pejoratively' , Agriculture
'cafos dramatically increased production food animal husbandry worldwide total food produced efficiency' , Agriculture
'food water delivered animals therapeutic antimicrobial agents vitamin supplements growth hormones employed' , Agriculture
'growth hormones chickens animal european union' , Agriculture
'undesirable behaviors related stress confinement led search docile breeds natural dominant behaviors bred physical restraints stop interaction individual cages chickens physical modification debeaking chickens reduce harm fighting' , Agriculture
'cafo designation resulted federal clean water act enacted protect restore lakes rivers fishable swimmable quality' , Agriculture
'united environmental protection agency identified animal feeding operations types industry source groundwater polluters' , Agriculture
'operations subjected regulation' , Agriculture
'isolated groundwater contamination linked cafos' , Agriculture
'example ten million hogs north carolina generate million tons waste' , Agriculture
'federal government acknowledges waste disposal issue requires animal waste stored lagoons' , Agriculture
'lagoons acres' , Agriculture
'lagoons protected impermeable liner leak groundwater conditions runoff manure fertilizer' , Agriculture
'lagoon burst released million gallons nitrous sludge north carolinas river' , Agriculture
'spill allegedly killed eight ten million fish' , Agriculture
'concentration animals animal waste dead animals space poses ethical issues consumers' , Agriculture
'animal rights animal welfare activists charged intensive animal rearing cruel animals' , Agriculture
'green revolution transformed farming developing countries' , Agriculture
'spread technologies existed widely outside industrialized nations' , Agriculture
'technologies included miracle seeds pesticides irrigation synthetic nitrogen fertilizer' , Agriculture
'scientists created highyielding varieties maize wheat rice' , Agriculture
'increased nitrogenabsorbing potential compared varieties' , Agriculture
'cereals absorbed extra nitrogen typically lodge fall harvest semidwarfing genes bred genomes' , Agriculture
'norin wheat variety developed orville vogel japanese dwarf wheat varieties instrumental developing wheat cultivars' , Agriculture
'widely implemented highyielding rice developed international rice research institute created cross indonesian variety named peta chinese variety named dee geo woo gen' , Agriculture
'availability molecular genetics arabidopsis rice mutant genes responsible reduced height gibberellin insensitive gai slender rice slr cloned identified cellular signalling components gibberellic acid phytohormone involved regulating stem growth via effect cell division' , Agriculture
'photosynthate investment stem reduced dramatically shorter plants nutrients redirected grain production amplifying particular yield effect chemical fertilizers' , Agriculture
'highyielding varieties outperformed traditional varieties fold responded addition irrigation pesticides fertilizers' , Agriculture
'hybrid vigour utilized crops greatly increase yields farmers' , Agriculture
'advantage lost progeny hybrids meaning seeds annual crops purchased season increasing costs profits farmers' , Agriculture
'crop rotation crop sequencing practice growing series dissimilar types crops space sequential seasons benefits avoiding pathogen pest buildup occurs species continuously cropped' , Agriculture
'crop rotation seeks balance nutrient demands various crops avoid soil nutrient depletion' , Agriculture
'traditional component crop rotation replenishment nitrogen legumes green manure sequence cereals crops' , Agriculture
'crop rotation improve soil structure fertility alternating deeprooted shallowrooted plants' , Agriculture
'related technique plant multispecies cover crops commercial crops' , Agriculture
'combines advantages intensive farming continuous cover polyculture' , Agriculture
'crop irrigation accounts worlds fresh water' , Agriculture
'flood irrigation common type typically unevenly distributed field receive excess water deliver sufficient quantities' , Agriculture
'overhead irrigation using centerpivot lateralmoving sprinklers equal controlled distribution pattern' , Agriculture
'drip irrigation expensive leastused type delivers water plant roots minimal losses' , Agriculture
'water catchment management measures include recharge pits capture rainwater runoff recharge groundwater supplies' , Agriculture
'helps replenishment groundwater eventually reduces soil erosion' , Agriculture
'dammed rivers creating reservoirs store water irrigation' , Agriculture
'sometimes irrigation ponds groundwater' , Agriculture
'agriculture systematic weed management required performed machines cultivators liquid herbicide sprayers' , Agriculture
'herbicides kill specific targets leaving crop relatively unharmed' , Agriculture
'act interfering growth weed based plant hormones' , Agriculture
'weed control herbicide difficult weeds resistant herbicide' , Agriculture
'solutions include' , Agriculture
'agriculture terrace leveled section hilly cultivated designed method soil conservation slow prevent rapid surface runoff irrigation water' , Agriculture
'land formed multiple terraces giving stepped appearance' , Agriculture
'human landscapes rice cultivation terraces follow natural contours escarpments contour ploughing classic feature island bali banaue rice terraces banaue ifugao philippines' , Agriculture
'peru inca otherwise unusable slopes building drystone walls create terraces' , Agriculture
'paddy field flooded parcel arable land growing rice semiaquatic crops' , Agriculture
'paddy fields typical feature ricegrowing countries east southeast asia including malaysia china sri lanka myanmar thailand korea japan vietnam taiwan indonesia india philippines' , Agriculture
'found ricegrowing regions piedmont italy camargue france artibonite valley haiti' , Agriculture
'occur naturally rivers marshes constructed hillsides' , Agriculture
'require water quantities irrigation flooding' , Agriculture
'environment favourable strain rice grown hostile species weeds' , Agriculture
'draft animal species comfortable wetlands water buffalo widespread asian rice paddies' , Agriculture
'recent development intensive production rice system rice intensification' , Agriculture
'developed french jesuit father henri de laulanié madagascar smallholder farmers using system grown million' , Agriculture
'aquaculture cultivation natural products water fish shellfish algae seaweed aquatic organisms' , Agriculture
'intensive aquaculture takes land using tanks ponds controlled systems ocean using cages' , Agriculture
'intensive farming practices sustainable developed slow deterioration agricultural land regenerate soil health ecosystem services' , Agriculture
'developments fall category organic farming integration organic conventional agriculture' , Agriculture
'pasture cropping involves planting grain crops directly grassland applying herbicides' , Agriculture
'perennial grasses form living mulch understory grain crop eliminating plant cover crops harvest' , Agriculture
'pasture intensively grazed grain production' , Agriculture
'intensive system yields equivalent farmer profits partly increased livestock forage building topsoil sequestering tons cohayear' , Agriculture
'biointensive agriculture focuses maximizing efficiency unit energy input water input' , Agriculture
'agroforestry combines agriculture orchardforestry technologies create integrated diverse productive profitable healthy sustainable landuse systems' , Agriculture
'intercropping increase yields reduce inputs represents potentially sustainable agricultural intensification' , Agriculture
'total yield acre increased yields single crop diminish' , Agriculture
'challenges farmers relying farming equipment optimized monoculture resulting increased labor inputs' , Agriculture
'vertical farming intensive crop production scale urban centers multistory artificiallylit structures production lowcalorie foods herbs microgreens lettuce' , Agriculture
'integrated farming system progressive sustainable agriculture system waste agriculture integrated multitrophic aquaculture involves interactions multiple species' , Agriculture
'elements integration include' , Agriculture
'holistic management originally developed reversing desertification' , Agriculture
'holistic planned grazing similar rotational grazing accentuates principles water cycle mineral cycles including carbon cycle energy flow ecology' , Agriculture
'huntergatherers growing populations depleted stocks game wild foods near east forced introduce agriculture' , Agriculture
'agriculture brought hours rich diet huntergatherers enjoyed' , Agriculture
'population growth shifting slashandburn farmers led shorter fallow periods falling yields soil erosion' , Agriculture
'plowing fertilizers introduced deal involved hours degradation soil resources' , Agriculture
'challenges issues industrial agriculture society sector animal rights include costs benefits current practices proposed changes practices' , Agriculture
'continuation thousands invention feeding growing populations' , Agriculture
'roughly' , Agriculture
'agricultural productivity output divided inputs rose average percent annually causing food prices decrease' , Agriculture
'percentage disposable income spent food prepared home decreased percent late percent century' , Agriculture
'industrial agriculture huge amounts water energy industrial chemicals increasing pollution arable land usable water atmosphere' , Agriculture
'herbicides insecticides fertilizers accumulate ground surface waters' , Agriculture
'industrial agricultural practices main drivers global warming accounting net greenhousegas emissions' , Agriculture
'negative effects industrial agriculture emerge distance fields farms' , Agriculture
'nitrogen compounds midwest example travel mississippi degrade coastal fisheries gulf mexico causing socalled oceanic dead zones' , Agriculture
'adverse effects agricultural production systems example rapidly developing resistance pests renders herbicides insecticides increasingly ineffective' , Agriculture
'agrochemicals implicatedby whom' , Agriculture
'colony collapse disorder individual bee colonies disappear' , Agriculture
'agricultural production highly dependent bees pollinate varieties fruits vegetables' , Agriculture
'intensive monoculture increases risk failures due pests adverse weather disease' , Agriculture
'study office technology assessment concluded regarding industrial agriculture negative relationship trend increasing farm size social conditions rural communities statistical level' , Agriculture
'agricultural monoculture entail social economic risks' , Agriculture
'plant breeding science changing traits plants produce desired characteristics' , Agriculture
'improve quality nutrition products humans animals' , Agriculture
'goals plant breeding produce crop varieties boast unique superior traits variety agricultural applications' , Agriculture
'frequently addressed traits related biotic abiotic stress tolerance grain biomass yield enduse quality characteristics taste concentrations specific biological molecules proteins sugars lipids vitamins fibers ease processing harvesting milling baking malting blending' , Agriculture
'plant breeding accomplished techniques ranging simply selecting plants desirable characteristics propagation methods knowledge genetics chromosomes complex molecular techniques cultigen cultivar' , Agriculture
'genes plant determine type qualitative quantitative traits' , Agriculture
'plant breeders strive create specific outcome plants potentially plant varieties' , Agriculture
'practiced worldwide individuals gardeners farmers professional plant breeders employed organizations government institutions universities cropspecific industry associations research centers' , Agriculture
'international development agencies believe breeding crops ensuring food security developing varieties yielding disease resistant drought tolerant regionally adapted environments growing conditions' , Agriculture
'plant breeding started sedentary agriculture particularly domestication agricultural plants practice estimated date' , Agriculture
'initially farmers simply selected food plants particular desirable characteristics employed progenitors subsequent generations resulting accumulation valuable traits time' , Agriculture
'grafting technology practiced china' , Agriculture
'grafting established practiced' , Agriculture
'gregor mendel considered father genetics' , Agriculture
'experiments plant hybridization led establishing laws inheritance' , Agriculture
'genetics stimulated research improve crop production plant breeding' , Agriculture
'modern plant breeding applied genetics scientific basis broader covering molecular biology cytology systematics physiology pathology entomology chemistry statistics biometrics' , Agriculture
'developed own technology' , Agriculture
'major technique plant breeding selection process selectively propagating plants desirable characteristics eliminating culling desirable characteristics' , Agriculture
'technique deliberate interbreeding crossing closely distantly related individuals produce crop varieties lines desirable properties' , Agriculture
'plants crossbred introduce traitsgenes variety line genetic background' , Agriculture
'example mildewresistant pea crossed highyielding susceptible pea goal cross introduce mildew resistance losing highyield characteristics' , Agriculture
'progeny cross crossed highyielding parent ensure progeny highyielding parent backcrossing' , Agriculture
'progeny cross tested yield selection described mildew resistance highyielding resistant plants developed' , Agriculture
'plants crossed themselves produce inbred varieties breeding' , Agriculture
'pollinators excluded pollination bags' , Agriculture
'classical breeding relies homologous recombination chromosomes generate genetic diversity' , Agriculture
'classical plant breeder vitro techniques protoplast fusion embryo rescue mutagenesis below generate diversity produce hybrid plants exist nature' , Agriculture
'traits breeders tried incorporate crop plants include' , Agriculture
'successful commercial plant breeding concerns founded late century' , Agriculture
'clarification gartons agricultural plant breeders england established john garton commercialize varieties agricultural crops created crosspollination' , Agriculture
'firms introduction abundance oat agricultural grain varieties bred controlled cross introduced commerce' , Agriculture
'century plant breeders realized mendels findings nonrandom nature inheritance applied seedling populations produced deliberate pollinations predict frequencies types' , Agriculture
'wheat hybrids bred increase crop production italy socalled battle grain' , Agriculture
'heterosis explained george harrison shull' , Agriculture
'describes tendency progeny specific cross outperform parents' , Agriculture
'detection usefulness heterosis plant breeding led development inbred lines reveal heterotic yield advantage crossed' , Agriculture
'maize species heterosis widely produce hybrids' , Agriculture
'statistical methods developed analyze gene action distinguish heritable variation variation caused environment' , Agriculture
'breeding technique cytoplasmic male sterility developed maize described marcus morton rhoades' , Agriculture
'maternally inherited trait makes plant produce sterile pollen' , Agriculture
'enables production hybrids laborintensive detasseling' , Agriculture
'breeding techniques resulted yield increase united century' , Agriculture
'similar yield increases produced elsewhere world war green revolution increased crop production developing world' , Agriculture
'following world war techniques developed allowed plant breeders hybridize distantly related species artificially induce genetic diversity' , Agriculture
'distantly related species crossed plant breeders plant tissue culture techniques produce progeny otherwise fruitless mating' , Agriculture
'interspecific intergeneric hybrids produced cross related species genera normally sexually reproduce' , Agriculture
'crosses referred wide crosses' , Agriculture
'example cereal triticale wheat rye hybrid' , Agriculture
'cells plants derived generation created cross contained uneven chromosomes result sterile' , Agriculture
'cell division inhibitor colchicine double chromosomes cell allow production fertile line' , Agriculture
'failure produce hybrid due pre postfertilization incompatibility' , Agriculture
'fertilization species genera hybrid embryo abort maturation' , Agriculture
'occur embryo resulting interspecific intergeneric cross sometimes rescued cultured produce plant' , Agriculture
'method referred embryo rescue' , Agriculture
'technique produce rice africa interspecific cross asian rice oryza sativa african rice oryza glaberrima' , Agriculture
'hybrids produced technique called protoplast fusion' , Agriculture
'protoplasts fused electric field' , Agriculture
'viable recombinants regenerated culture' , Agriculture
'chemical mutagens radiation transposons generate mutants desirable traits bred cultivars process mutation breeding' , Agriculture
'classical plant breeders generate genetic diversity species exploiting process called somaclonal variation occurs plants produced tissue culture particularly plants derived callus' , Agriculture
'induced polyploidy addition removal chromosomes using technique called chromosome engineering' , Agriculture
'desirable trait bred species crosses favored parent plant similar favored parent' , Agriculture
'returning example mildew resistant pea crossed highyielding susceptible pea mildew resistant progeny cross highyielding parent progeny crossed parent generations backcrossing' , Agriculture
'process removes genetic contribution mildew resistant parent' , Agriculture
'classical breeding cyclical process' , Agriculture
'classical breeding techniques breeder exactly genes introduced cultivars' , Agriculture
'scientists argue plants produced classical breeding methods undergo safety testing regime genetically modified plants' , Agriculture
'instances plants bred using classical techniques unsuitable human consumption example poison solanine unintentionally increased unacceptable levels varieties potato plant breeding' , Agriculture
'potato varieties screened solanine levels reaching marketplace' , Agriculture
'modern plant breeding techniques molecular biology select genetic modification insert desirable traits plants' , Agriculture
'application biotechnology molecular biology molecular breeding' , Agriculture
'sometimes genes influence desirable trait plant breeding' , Agriculture
'tools molecular markers dna fingerprinting map thousands genes' , Agriculture
'allows plant breeders screen populations plants possess trait' , Agriculture
'screening based presence absence gene determined laboratory procedures visual identification expressed trait plant' , Agriculture
'purpose marker assisted selection plant genome analysis identify location function phenotype various genes genome' , Agriculture
'genes identified leads genome sequence' , Agriculture
'neededclarification plants varying sizes lengths genomes genes code proteins' , Agriculture
'genes location function identified plant species similar gene found similar location related species genome' , Agriculture
'clarification neededhomozygous plants desirable traits produced heterozygous starting plants haploid cell alleles traits produced doubled haploid' , Agriculture
'doubled haploid homozygous desired traits' , Agriculture
'furthermore homozygous plants created produce generation hybrid plants advantages heterozygosity range traits' , Agriculture
'individual heterozygous plant chosen desirable characteristics converted heterozygous variety hybrid necessity vegetative reproduction result cross homozygousdoubled haploid lines derived originally selected plant' , Agriculture
'plant tissue culturing produce haploid double haploid plant lines generations' , Agriculture
'cuts genetic diversity plant species select desirable traits increase fitness individuals' , Agriculture
'using method decreases breeding multiple generations plants generation homogenous desired traits thereby saving time natural version process' , Agriculture
'plant tissue culturing techniques achieve haploid plants microspore culturing currently promising producing largest' , Agriculture
'genetic modification plants achieved adding specific gene genes plant knocking gene rnai produce desirable phenotype' , Agriculture
'plants resulting adding gene referred transgenic plants' , Agriculture
'genetic modification genes species crossable plant control native promoter called cisgenic plants' , Agriculture
'sometimes genetic modification produce plant desired trait traits faster classical breeding majority plants genome altered' , Agriculture
'genetically modify plant genetic construct designed gene added removed expressed plant' , Agriculture
'promoter drive transcription termination sequence stop transcription gene gene genes introduced plant' , Agriculture
'marker selection transformed plants included' , Agriculture
'laboratory antibiotic resistance commonly marker plants successfully transformed grow media containing antibiotics plants transformed die' , Agriculture
'instances markers selection removed backcrossing parent plant prior commercial release' , Agriculture
'construct inserted plant genome genetic recombination using bacteria agrobacterium tumefaciens rhizogenes direct methods gene gun microinjection' , Agriculture
'using plant viruses insert genetic constructs plants possibility technique limited host range virus' , Agriculture
'example cauliflower mosaic virus  infects cauliflower related species' , Agriculture
'limitation viral vectors virus passed progeny plant inoculated' , Agriculture
'majority commercially released transgenic plants currently limited plants introduced resistance insect pests herbicides' , Agriculture
'insect resistance achieved incorporation gene bacillus thuringiensis encodes protein toxic insects' , Agriculture
'example cotton bollworm common cotton pest feeds cotton ingest toxin die' , Agriculture
'herbicides binding plant enzymes inhibiting action' , Agriculture
'enzymes herbicide inhibits herbicides target site' , Agriculture
'herbicide resistance engineered crops expressing version target site protein inhibited herbicide' , Agriculture
'method produce glyphosate resistant roundup ready crop plants' , Agriculture
'genetic modification increase yields increasing stress tolerance environment' , Agriculture
'stresses temperature variation signalled plant via cascade signalling molecules activate transcription factor regulate gene expression' , Agriculture
'overexpression particular genes involved cold acclimation shown produce resistance freezing common cause yield loss' , Agriculture
'genetic modification plants produce pharmaceuticals industrial chemicals sometimes called pharming radical plant breeding' , Agriculture
'modern plant breeding classical genetic engineering comes issues concern particularly regard food crops' , Agriculture
'question breeding negative effect nutritional value central respect' , Agriculture
'relatively little direct research scientific indications favoring aspects plants development aspects retarded' , Agriculture
'study published journal american college nutrition entitled changes usda food composition data garden crops compared nutritional analysis vegetables found substantial decreases six nutrients measured including protein riboflavin' , Agriculture
'reductions calcium phosphorus iron ascorbic acid found' , Agriculture
'study conducted biochemical institute university texas austin concluded summary suggest real declines easily explained changes cultivated varieties tradeoffs yield nutrient content' , Agriculture
'debate surrounding genetically modified food peaked media coverage risk perception continues example germany thrown weight growing european mutiny genetically modified crops banning planting widely grown pestresistant corn variety' , Agriculture
'debate encompasses ecological impact genetically modified plants safety genetically modified food concepts safety evaluation substantial equivalence' , Agriculture
'concerns plant breeding' , Agriculture
'countries regulatory processes help ensure crop varieties entering marketplace safe meet farmers' , Agriculture
'examples include variety registration seed schemes regulatory authorizations plants' , Agriculture
'plant breeders rights major controversial issue' , Agriculture
'production varieties dominated commercial plant breeders seek protect collect royalties national international agreements based intellectual property rights' , Agriculture
'range related issues complex' , Agriculture
'simplest critics increasingly restrictive regulations argue combination technical economic pressures commercial breeders reducing biodiversity significantly constraining individuals farmers developing trading seed regional level' , Agriculture
'efforts strengthen breeders rights example lengthening periods variety protection ongoing' , Agriculture
'plant breeds cultivars bred maintained propagated' , Agriculture
'plants propagated asexual means propagated seeds' , Agriculture
'seed propagated cultivars require specific control seed source production procedures maintain integrity plant breeds results' , Agriculture
'isolation prevent cross contamination related plants mixing seeds harvesting' , Agriculture
'isolation normally accomplished planting distance crops plants enclosed greenhouses cages commonly producing hybrids' , Agriculture
'critics organic agriculture claim lowyielding viable alternative conventional agriculture' , Agriculture
'poor performance result growing poorly adapted varieties' , Agriculture
'estimated organic agriculture based conventionally adapted varieties production environments found organic conventional farming systems vastly due distinctive management practices' , Agriculture
'notably organic farmers fewer inputs available conventional growers control production environments' , Agriculture
'breeding varieties specifically adapted unique conditions organic agriculture critical sector realize potential' , Agriculture
'requires selection traits' , Agriculture
'currently breeding programs directed organic agriculture recently address sector relied indirect selection' , Agriculture
'selection conventional environments traits considered organic agriculture' , Agriculture
'difference organic conventional environments genotype perform environment due interaction genes environment geneenvironment interaction' , Agriculture
'interaction severe trait required organic environment revealed conventional environment result selection poorly adapted individuals' , Agriculture
'ensure adapted varieties identified advocates organic breeding promote direct selection' , Agriculture
'selection target environment agronomic traits' , Agriculture
'classical modern breeding techniques utilized crop improvement organic agriculture despite ban genetically modified organisms' , Agriculture
'instance controlled crosses individuals allow desirable genetic variation recombined transferred seed progeny via natural processes' , Agriculture
'marker assisted selection employed diagnostics tool facilitate selection progeny possess desired traits greatly speeding breeding process' , Agriculture
'technique proven particularly useful introgression resistance genes backgrounds efficient selection resistance genes pyramided single individual' , Agriculture
'unfortunately molecular markers currently available traits complex ones controlled genes' , Agriculture
'agriculture thrive future changes address arising global issues' , Agriculture
'issues lack arable land increasingly harsh cropping conditions maintain food security involves able provide world population sufficient nutrition' , Agriculture
'crops able mature multiple environments allow worldwide access involves solving including drought tolerance' , Agriculture
'suggested global solutions achievable process plant breeding ability select specific genes allowing crops perform level yields desired results' , Agriculture
'increasing population production food increase' , Agriculture
'estimated increase food production meet declaration world summit food security' , Agriculture
'degradation agricultural land simply planting crops viable option' , Agriculture
'varieties plants developed plant breeding generate increase yield relying increase land' , Agriculture
'example seen asia food production capita increased twofold' , Agriculture
'achieved fertilisers crops specifically designed' , Agriculture
'plant breeding contribute global food security costeffective tool increasing nutritional value forage crops' , Agriculture
'improvements nutritional value forage crops analytical chemistry rumen fermentation technology recorded science technology breeders ability screen thousands samples amount time meaning breeders identify performing hybrid quicker' , Agriculture
'genetic improvement mainly vitro dry matter digestibility ivdmd resulting increase increase ivdmd single bos taurus beef cattle reported increase daily gains' , Agriculture
'improvement indicates plant breeding essential tool gearing future agriculture perform advanced level' , Agriculture
'plant breeding hybrid crops extremely popular worldwide effort combat harsh environment' , Agriculture
'periods drought lack water nitrogen stress tolerance significant agriculture' , Agriculture
'clarification plant breeders focused identifying crops ensure crops perform conditions achieve finding strains crop resistance drought conditions low nitrogen' , Agriculture
